Latest Survey,WWEIA Food Code,WWEIA Food Description,Basic Ingredient Description,Ingredient Percent
2021-2023,11000000,"Milk, human","Milk, human",100
2021-2023,11100000,"Milk, NFS","Milk, 1% fat, fluid",14
2021-2023,11100000,"Milk, NFS","Milk, 2% fat, fluid",38
2021-2023,11100000,"Milk, NFS","Milk, nonfat, fluid",8
2021-2023,11100000,"Milk, NFS","Milk, whole, fluid",40
2021-2023,11111000,"Milk, whole","Milk, whole, fluid",100
2017-2018,11111100,"Milk, low sodium, whole","Milk, whole, fluid",100
2017-2018,11111150,"Milk, calcium fortified, whole","Milk, whole, fluid",100
2017-2018,11111160,"Milk, calcium fortified, low fat (1%)","Milk, 1% fat, fluid",100
2017-2018,11111170,"Milk, calcium fortified, fat free (skim)","Milk, nonfat, fluid",100
2003-2004,11112000,"Milk, cow's, fluid, other than whole, NS as to 2%, 1%, or skim (formerly milk, cow's, fluid, ""lowfat"", NS as to percent fat)","Milk, 1% fat, fluid",19.7
2003-2004,11112000,"Milk, cow's, fluid, other than whole, NS as to 2%, 1%, or skim (formerly milk, cow's, fluid, ""lowfat"", NS as to percent fat)","Milk, 2% fat, fluid",54.1
2003-2004,11112000,"Milk, cow's, fluid, other than whole, NS as to 2%, 1%, or skim (formerly milk, cow's, fluid, ""lowfat"", NS as to percent fat)","Milk, nonfat, fluid",26.2
2021-2023,11112110,"Milk, reduced fat (2%)","Milk, 2% fat, fluid",100
2017-2018,11112120,"Milk, acidophilus, low fat (1%)","Milk, 1% fat, fluid",100
2017-2018,11112130,"Milk, acidophilus, reduced fat (2%)","Milk, 2% fat, fluid",100
2021-2023,11112210,"Milk, low fat (1%)","Milk, 1% fat, fluid",100
2021-2023,11113000,"Milk, fat free (skim)","Milk, nonfat, fluid",100
2009-2010,11114000,"Milk, cow's, fluid, filled with vegetable oil, NS as to percent fat","Milk, nonfat, dried",9
2009-2010,11114000,"Milk, cow's, fluid, filled with vegetable oil, NS as to percent fat","Oil, vegetable/nut/seed (other than cocoa butter)",3.4
2009-2010,11114000,"Milk, cow's, fluid, filled with vegetable oil, NS as to percent fat","Water, tap",87.6
2009-2010,11114100,"Milk, cow's, fluid, filled with vegetable oil, whole","Milk, nonfat, dried",9
2009-2010,11114100,"Milk, cow's, fluid, filled with vegetable oil, whole","Oil, vegetable/nut/seed (other than cocoa butter)",3.4
2009-2010,11114100,"Milk, cow's, fluid, filled with vegetable oil, whole","Water, tap",87.6
2009-2010,11114200,"Milk, cow's, fluid, filled with vegetable oil, lowfat","Milk, nonfat, dried",9.44
2009-2010,11114200,"Milk, cow's, fluid, filled with vegetable oil, lowfat","Oil, vegetable/nut/seed (other than cocoa butter)",1
2009-2010,11114200,"Milk, cow's, fluid, filled with vegetable oil, lowfat","Water, tap",89.56
2021-2023,11114300,"Milk, lactose free, low fat (1%)","Milk, 1% fat, fluid",100
2011-2012,11114310,"Milk, cow's, fluid, lactose reduced, 1% fat, fortified with calcium","Milk, 1% fat, fluid",100
2021-2023,11114320,"Milk, lactose free, fat free (skim)","Milk, nonfat, fluid",100
2011-2012,11114321,"Milk, cow's, fluid, lactose reduced, nonfat, fortified with calcium","Milk, nonfat, fluid",100
2021-2023,11114330,"Milk, lactose free, reduced fat (2%)","Milk, 2% fat, fluid",100
2021-2023,11114350,"Milk, lactose free, whole","Milk, whole, fluid",100
2019-2020,11115000,"Buttermilk, fat free (skim)","Milk, buttermilk, nonfat, fluid",100
2017-2018,11115100,"Buttermilk, low fat (1%)","Milk, buttermilk, 1% fat, fluid",100
2017-2018,11115200,"Buttermilk, reduced fat (2%)","Milk, buttermilk, 2% fat, fluid",100
2021-2023,11115300,Buttermilk,"Milk, buttermilk, 1% fat, fluid",100
2021-2023,11115400,Kefir,"Milk, 1% fat, fluid",94.1
2021-2023,11115400,Kefir,"Milk, nonfat, fluid",3.75
2021-2023,11115400,Kefir,Sugars,2.15
2021-2023,11116000,Goat milk,"Milk, goat, whole, fluid",100
2021-2023,11120000,"Milk, dry, reconstituted, nonfat","Milk, nonfat, dried",8.85
2021-2023,11120000,"Milk, dry, reconstituted, nonfat","Water, tap",91.15
2021-2023,11121100,"Milk, dry, reconstituted, whole","Milk, whole, dried",15.25
2021-2023,11121100,"Milk, dry, reconstituted, whole","Water, tap",84.75
2019-2020,11121210,"Milk, dry, reconstituted, low fat (1%)","Milk, 1% fat, dried",9.71
2019-2020,11121210,"Milk, dry, reconstituted, low fat (1%)","Water, tap",90.29
2019-2020,11121300,"Milk, dry, reconstituted, fat free (skim)","Milk, nonfat, dried",8.85
2019-2020,11121300,"Milk, dry, reconstituted, fat free (skim)","Water, tap",91.15
2009-2010,11122000,"Buttermilk, dry, reconstituted","Milk, buttermilk, 1% fat, dried",9.79
2009-2010,11122000,"Buttermilk, dry, reconstituted","Water, tap",90.21
2003-2004,11210000,"Milk, evaporated, NS as to fat content and dilution","Milk, whole, evaporated",51.53
2003-2004,11210000,"Milk, evaporated, NS as to fat content and dilution","Water, tap",48.47
2021-2023,11210050,"Milk, evaporated, NS as to fat content","Milk, whole, evaporated",100
2003-2004,11210100,"Milk, evaporated, NS as to fat content, undiluted","Milk, whole, evaporated",100
2003-2004,11210200,"Milk, evaporated, NS as to fat content, diluted","Milk, whole, evaporated",51.53
2003-2004,11210200,"Milk, evaporated, NS as to fat content, diluted","Water, tap",48.47
2003-2004,11211000,"Milk, evaporated, whole, NS as to dilution","Milk, whole, evaporated",51.53
2003-2004,11211000,"Milk, evaporated, whole, NS as to dilution","Water, tap",48.47
