fda_desc,Ingredient description,Ingredient code
Butter,"Butter, salted",1001
"Cheese, blue/roquefort","Cheese, blue",1004
"Cheese, brick","Cheese, brick",1005
"Cheese, brie","Cheese, brie",1006
"Cheese, camembert","Cheese, camembert",1007
"Cheese, cheddar","Cheese, cheddar",1009
"Cheese, colby","Cheese, colby",1011
"Cheese, cottage","Cheese, cottage, creamed, large or small curd",1012
"Cheese, cottage, low fat","Cheese, cottage, lowfat, 2% milkfat",1015
"Cheese, cream","Cheese, cream",1017
"Cheese, feta","Cheese, feta",1019
"Cheese, fontina","Cheese, fontina",1020
"Cheese, gouda/edam","Cheese, gouda",1022
"Cheese, gruyere","Cheese, gruyere",1023
"Cheese, monterey","Cheese, monterey",1025
"Cheese, mozzarella","Cheese, mozzarella, whole milk",1026
"Cheese, mozzarella, low fat/nonfat","Cheese, mozzarella, part skim milk",1028
"Cheese, muenster","Cheese, muenster",1030
"Cheese, parmesan","Cheese, parmesan, grated",1032
"Cheese, provolone","Cheese, provolone",1035
"Cheese, ricotta","Cheese, ricotta, whole milk",1036
"Cheese, romano","Cheese, romano",1038
"Cheese, swiss","Cheese, swiss",1040
"Cream, fluid","Cream, fluid, half and half",1049
"Cream, sour","Cream, sour, cultured",1056
"Milk, whole, fluid","Milk, whole, 3.25% milkfat, with added vitamin D",1077
"Milk, 2% fat, fluid","Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",1079
"Milk, 1% fat, fluid","Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",1082
"Milk, nonfat, fluid","Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",1085
"Milk, buttermilk, 1% fat, fluid","Milk, buttermilk, fluid, cultured, lowfat",1088
"Milk, whole, dried","Milk, dry, whole, with added vitamin D",1090
"Milk, buttermilk, whole, dried","Milk, buttermilk, dried",1094
"Milk, buttermilk, 1% fat, dried","Milk, buttermilk, dried",1094
"Milk, 2% fat, evaporated","Milk, canned, evaporated, with added vitamin D and without added vitamin A",1096
"Milk, whole, evaporated","Milk, canned, evaporated, with added vitamin D and without added vitamin A",1096
"Milk, nonfat, evaporated","Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D",1097
"Milk, goat, whole, fluid","Milk, goat, fluid, with added vitamin D",1106
"Whey, dried","Whey, sweet, dried",1115
"Egg, whole, raw","Egg, whole, raw, fresh",1123
"Egg, white, cooked","Egg, white, raw, fresh",1124
"Egg, white, raw","Egg, white, raw, fresh",1124
"Egg, yolk, raw","Egg, yolk, raw, fresh",1125
"Egg, yolk, cooked","Egg, yolk, raw, fresh",1125
"Egg, whole, cooked","Egg, whole, cooked, fried",1128
"Egg, whole, dried","Egg, whole, dried",1133
"Egg, white, dried","Egg, whole, dried",1133
"Egg, duck, cooked","Egg, duck, whole, fresh, raw",1138
"Egg, goose, cooked","Egg, goose, whole, fresh, raw",1139
"Egg, quail, canned","Egg, quail, whole, fresh, raw",1140
"Milk, nonfat, dried","Milk, dry, nonfat, regular, with added vitamin A and vitamin D",1154
"Cheese, goat","Cheese, goat, hard type",1156
"Cheese, queso anejo","Cheese, mexican, queso anejo",1165
"Cheese, queso chihuahua","Cheese, mexican, queso chihuahua",1167
"Cream, sour, light/reduced fat/imitation/fat free","Sour cream, light",1179
"Cheese, parmesan, reduced fat/fat free","Parmesan cheese topping, fat free",1185
"Cheese, cream, nonfat","Cheese, cream, fat free",1186
"Cream, fluid, fat free","Cream, half and half, fat free",1199
"Cheese, provolone, reduced fat","Cheese, provolone, reduced fat",1208
"Cheese, Mexican blend, reduced fat","Cheese, Mexican, blend, reduced fat",1209
"Milk, whole, with 77% moisture loss (for dulce de leche and condensed milk)",Dulce de Leche,1225
"Cheese, queso seco","Cheese, dry white, queso seco",1227
"Cheese, queso fresco","Cheese, fresh, queso fresco",1228
"Milk, buttermilk, whole, fluid","Milk, buttermilk, fluid, whole",1230
"Cheese, Mexican blend","Cheese, Mexican blend",1251
"Cheese, cheddar, reduced fat","Cheese, cheddar, reduced fat",1260
