FOODCODE,DESCRIPTION,F_TOTAL (cup eq.),F_CITMLB (cup eq.),F_OTHER (cup eq.),F_JUICE (cup eq.),V_TOTAL (cup eq.),V_DRKGR (cup eq.),V_REDOR_TOTAL (cup eq.),V_REDOR_TOMATO (cup eq.),V_REDOR_OTHER (cup eq.),V_STARCHY_TOTAL (cup eq.),V_STARCHY_POTATO (cup eq.),V_STARCHY_OTHER (cup eq.),V_OTHER (cup eq.),V_LEGUMES (cup eq.),G_TOTAL (oz. eq.),G_WHOLE (oz. eq.),G_REFINED (oz. eq.),PF_TOTAL (oz. eq.),PF_MPS_TOTAL (oz. eq.),PF_MEAT (oz. eq.),PF_CUREDMEAT (oz. eq.),PF_ORGAN (oz. eq.),PF_POULT (oz. eq.),PF_SEAFD_HI (oz. eq.),PF_SEAFD_LOW (oz. eq.),PF_EGGS (oz. eq.),PF_SOY (oz. eq.),PF_NUTSDS (oz. eq.),PF_LEGUMES (oz. eq.),D_TOTAL (cup eq.),D_MILK (cup eq.),D_YOGURT (cup eq.),D_CHEESE (cup eq.),OILS (grams),SOLID_FATS (grams),ADD_SUGARS (tsp. eq.),A_DRINKS (no. of drinks),cycle
11000000,"Milk, human",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1720
11100000,"Milk, NFS",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.0,0.0,0.0,1.38,0.0,0.0,1720
11111000,"Milk, whole",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.0,0.0,0.0,2.59,0.0,0.0,1720
11111100,"Milk, low sodium, whole",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.0,0.0,0.0,2.85,0.0,0.0,1720
11111150,"Milk, calcium fortified, whole",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.0,0.0,0.0,2.59,0.0,0.0,1720
11111160,"Milk, calcium fortified, low fat (1%)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.0,0.0,0.0,0.34,0.0,0.0,1720
11111170,"Milk, calcium fortified, fat free (skim)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.0,0.0,0.0,0.0,0.0,0.0,1720
11112110,"Milk, reduced fat (2%)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.0,0.0,0.0,1.29,0.0,0.0,1720
11112120,"Milk, acidophilus, low fat (1%)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.0,0.0,0.0,0.34,0.0,0.0,1720
11112130,"Milk, acidophilus, reduced fat (2%)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.0,0.0,0.0,1.29,0.0,0.0,1720
11112210,"Milk, low fat (1%)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.0,0.0,0.0,0.34,0.0,0.0,1720
