Level.code	Main.food.description
1	Milk_and_Milk_Products
11	Milks_and_milk_drinks
110	Fluid_milk
1100	Milk, whole, fluid
1101	Milk, 2% fat, fluid
1102	Milk, 1% fat, fluid
1103	Milk, nonfat, fluid
1104	Milk, buttermilk, 1% fat, fluid
1105	Milk, buttermilk, whole, fluid
1106	Milk, buttermilk, 2% fat, fluid
1107	Milk, goat, whole, fluid
111	Processed_milk
1110	Milk, whole, dried
1111	Milk, nonfat, dried
1112	Milk, buttermilk, 1% fat, dried
1113	Whey, dried
1114	Milk, 2% fat, evaporated
1115	Milk, nonfat, evaporated
1116	Milk, whole, with 77% moisture loss (for dulce de leche and condensed milk)
12	Creams_and_cream_substitutes
120	Cream, fluid
121	Cream, fluid, fat free
122	Cream, sour
123	Cream, sour, light/reduced fat/imitation/fat free
13	Cheeses
130	Natural_cheeses
1300	Soft_cheeses
13000	Cheese, brie
13001	Cheese, camembert
13002	Cheese, cream
13003	Cheese, cream, nonfat
13004	Cheese, cream, low fat
1301	Semi_hard_cheeses
13010	Cheese, cheddar
13011	Cheese, cheddar, reduced fat
13012	Cheese, cheddar, nonfat
13013	Cheese, colby
13014	Cheese, monterey
13015	Cheese, monterey, reduced fat
13016	Cheese, brick
13017	Cheese, muenster
13018	Cheese, muenster, reduced fat
13019	Cheese, gouda/edam
1302	Hard_cheeses
13020	Cheese, parmesan
13021	Cheese, parmesan, reduced fat/fat free
13022	Cheese, romano
1303	Cheese, blue/roquefort
1304	Swiss_type_cheeses
13040	Cheese, swiss
13041	Cheese, swiss, low fat/nonfat
13042	Cheese, gruyere
1305	Italian_cheeses
13050	Cheese, mozzarella
13051	Cheese, mozzarella, low fat/nonfat
13052	Cheese, provolone
13053	Cheese, provolone, reduced fat
13054	Cheese, ricotta
13055	Cheese, fontina
1306	Cheese, feta
1307	Cheese, goat
131	Cottage_cheeses
1310	Cheese, cottage
1311	Cheese, cottage, low fat
132	Mexican_cheeses
1320	Cheese, queso fresco
1321	Cheese, queso anejo
1322	Cheese, queso chihuahua
1323	Cheese, queso seco
1324	Cheese, cotija
1325	Cheese, Mexican blend
1326	Cheese, Mexican blend, reduced fat
1327	Cheese, Oaxaca
2	Meat_Poultry_Fish_and_Mixtures
21	Poultry
210	Chicken
2100	Chicken, lean and fat, cooked
2101	Chicken, variety meat, giblets (incl liver/gizzard), cooked
211	Turkey
2110	Turkey, lean and fat, cooked
2111	Turkey, variety meat, giblets (incl liver/gizzard), cooked
212	Duck, lean and fat, cooked
213	Game_birds
2130	Quail, lean and fat, cooked
2131	Pheasant, lean and fat, cooked
2132	Dove, lean and fat, cooked
22	Beef
220	Ground_beef
2200	Beef, lean and fat, raw
2201	Beef, lean and fat, cooked
2202	Beef, lean and fat, canned/cooked
2203	Beef, lean and fat, dried
221	Beef_organs
2210	Beef, variety meat, brains, cooked
2211	Beef, variety meat, heart, cooked
2212	Beef, variety meat, kidney, cooked
2213	Beef, variety meat, liver, cooked
2214	Beef, variety meat, tongue, cooked
2215	Beef, variety meat, tripe, cooked
23	Pork
230	Pork_cuts
2300	Pork, lean and fat, cooked
231	Pork_organs
2310	Pork, variety meat, chitterlings, cooked
2311	Pork, variety meat, stomach, cooked
2312	Pork, variety meat, feet, cooked
232	Pork, variety meat, skin, dehydrated (pork rinds)
24	Lamb_veal_game_other
240	Veal, lean and fat, cooked
241	Lamb, lean and fat, cooked
242	Game_meat
2420	Bear, lean and fat, cooked
2421	Beaver, lean and fat, cooked
2422	Bison, lean and fat, cooked
2423	Pig, wild, lean and fat, cooked
2424	Moose, lean and fat, cooked
2425	Goat, lean and fat, cooked
2426	Rabbit, domesticated, lean and fat, cooked
2427	Raccoon, lean and fat, cooked
2428	Squirrel, lean and fat, cooked
2429	Deer, lean and fat, cooked
243	Amphibians_reptiles
2430	Frog legs, cooked
2431	Turtle, cooked
26	Fish_and_shellfish
260	Finfish
2600	Cod_family
26000	Fish, cod, cooked
26001	Fish, cod, raw
26002	Fish, cod, dried
26003	Fish, haddock, cooked
26004	Fish, haddock, smoked
26005	Fish, pollock, cooked
2601	Flatfish
26010	Fish, flatfish, cooked
26011	Fish, halibut, cooked
2602	Tuna_mackerel
26020	Fish, tuna, canned/cooked
26021	Fish, tuna, raw
26022	Fish, mackerel, cooked
26023	Fish, mackerel, raw
2603	Herring_sardines_anchovies
26030	Fish, herring, raw
26031	Fish, herring, cooked
26032	Fish, sardines, cooked
26033	Fish, anchovy, canned/cooked
2604	Bass_snapper
26040	Fish, sea bass, raw
26041	Fish, snapper, raw
2605	Salmon_trout
26050	Fish, salmon, smoked
26051	Fish, salmon, cooked
26052	Fish, salmon, raw
26053	Fish, trout, cooked
2606	Freshwater_fish
26060	Fish, perch, cooked
26061	Fish, pike, cooked
26062	Fish, carp, cooked
2607	Catfish_tilapia
26070	Fish, catfish, cooked
26071	Fish, tilapia, cooked
2608	Other_fish
26080	Fish, croaker, cooked
26081	Fish, eel, cooked
