Level.code	Main.food.description
1	Milk_and_Milk_Products
11	Milks_and_milk_drinks
110	Fluid_milk
1100	Milk, whole, 3.25% milkfat, with added vitamin D
1101	Reduced_fat_milk
11010	Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D
11011	Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D
11012	Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)
1102	Buttermilk
11020	Milk, buttermilk, fluid, cultured, lowfat
11021	Milk, buttermilk, fluid, whole
11022	Milk, buttermilk, fluid, cultured, reduced fat
1103	Milk, goat, fluid, with added vitamin D
111	Processed_milk
1110	Dried_milk
11100	Milk, dry, whole, with added vitamin D
11101	Milk, dry, nonfat, regular, with added vitamin A and vitamin D
11102	Milk, buttermilk, dried
11103	Whey, sweet, dried
1111	Canned_milk
11110	Milk, canned, evaporated, with added vitamin D and without added vitamin A
11111	Milk, canned, evaporated, nonfat, with added vitamin A and vitamin D
1112	Dulce de Leche
12	Creams_and_cream_substitutes
120	Half_and_half
1200	Cream, fluid, half and half
1201	Cream, half and half, fat free
121	Sour_cream
1210	Cream, sour, cultured
1211	Sour cream, light
13	Cheeses
130	Natural_cheeses
1300	Soft_cheeses
13000	Cheese, brie
13001	Cheese, camembert
13002	Cheese, cream
13003	Cheese, cream, fat free
13004	Cheese, cream, low fat
1301	Semi_hard_cheeses
13010	Cheese, cheddar
13011	Cheese, cheddar, reduced fat
13012	Cheese, cheddar, nonfat or fat free
13013	Cheese, colby
13014	Cheese, monterey
13015	Cheese, monterey, low fat
13016	Cheese, brick
13017	Cheese, muenster
13018	Cheese, muenster, low fat
13019	Cheese, gouda
1302	Hard_cheeses
13020	Cheese, parmesan, grated
13021	Parmesan cheese topping, fat free
13022	Cheese, romano
1303	Cheese, blue
1304	Swiss_type_cheeses
13040	Cheese, swiss
13041	Cheese, Swiss, nonfat or fat free
13042	Cheese, gruyere
1305	Italian_cheeses
13050	Cheese, mozzarella, whole milk
13051	Cheese, mozzarella, part skim milk
13052	Cheese, provolone
13053	Cheese, provolone, reduced fat
13054	Cheese, ricotta, whole milk
13055	Cheese, fontina
1306	Cheese, feta
1307	Cheese, goat, hard type
131	Cottage_cheeses
1310	Cheese, cottage, creamed, large or small curd
1311	Cheese, cottage, lowfat, 2% milkfat
132	Mexican_cheeses
1320	Cheese, mexican, queso anejo
1321	Cheese, mexican, queso chihuahua
1322	Cheese, Mexican, blend, reduced fat
1323	Cheese, dry white, queso seco
1324	Cheese, fresh, queso fresco
1325	Cheese, Mexican blend
1326	Cheese, oaxaca, solid
1327	Cheese, cotija, solid
2	Meat_Poultry_Fish_and_Mixtures
21	Poultry
210	Chicken
2100	Chicken, broilers or fryers, breast, meat only, cooked, roasted
2101	Chicken, gizzard, all classes, cooked, simmered
211	Turkey
2110	Turkey, whole, meat and skin, cooked, roasted
2111	Turkey, whole, giblets, cooked, simmered
212	Duck, domesticated, meat only, cooked, roasted
213	Game_birds
2130	Quail, cooked, total edible
2131	Pheasant, cooked, total edible
2132	Dove, cooked (includes squab)
22	Beef
220	Ground_beef
2200	Beef, ground, 80% lean meat / 20% fat, raw
2201	Beef, ground, 80% lean meat / 20% fat, patty, cooked, broiled
221	Beef, chuck, blade roast, separable lean only, trimmed to 0" fat, all grades, cooked, braised
222	Beef, cured, dried
23	Pork
230	Pork_cuts
2300	Pork, fresh, leg (ham), whole, separable lean and fat, cooked, roasted
231	Pork_organs
2310	Pork, fresh, variety meats and by-products, chitterlings, cooked, simmered
2311	Pork, fresh, variety meats and by-products, stomach, raw
2312	Pork, fresh, variety meats and by-products, feet, cooked, simmered
232	Snacks, pork skins, plain
24	Lamb_veal_game_other
240	Veal, loin, separable lean and fat, cooked, roasted
241	Veal, variety meats and by-products, thymus, cooked, braised
242	Lamb, ground, cooked, broiled
243	Game_meat
2430	Game meat, bear, cooked, simmered
2431	Game meat, beaver, cooked, roasted
2432	Game meat, bison, separable lean only, cooked, roasted
2433	Game meat, boar, wild, cooked, roasted
2434	Game meat, moose, cooked, roasted
2435	Game meat, goat, cooked, roasted
2436	Game meat, rabbit, domesticated, composite of cuts, cooked, stewed
2437	Game meat, raccoon, cooked, roasted
2438	Game meat, squirrel, cooked, roasted
2439	Game meat, deer, ground, raw
244	Amphibians_reptiles
2440	Frog legs, raw
2441	Turtle, green, raw
25	Organ_meats_sausages_and_lunchmeats
250	Beef_organs
2500	Beef, variety meats and by-products, brain, cooked, simmered
2501	Beef, variety meats and by-products, heart, cooked, simmered
2502	Beef, variety meats and by-products, kidneys, cooked, simmered
2503	Beef, variety meats and by-products, liver, cooked, pan-fried
2504	Beef, variety meats and by-products, tongue, cooked, simmered
2505	Beef, variety meats and by-products, tripe, raw
26	Fish_and_shellfish
260	Finfish
2600	Cod_family
26000	Fish, cod, Atlantic, cooked, dry heat
26001	Fish, cod, Atlantic, dried and salted
26002	Fish, cod, Pacific, raw (may have been previously frozen)
