Level.code	Main.food.description
1	Milk_and_Milk_Products
11	Milks_and_milk_drinks
110	Fluid_milk
1100	Milk_whole_325_milkfat_with_added_vitamin_D
1101	Reduced_fat_milk
11010	Milk_reduced_fat_fluid_2_milkfat_with_added_vitamin_A_and_vitamin_D
11011	Milk_lowfat_fluid_1_milkfat_with_added_vitamin_A_and_vitamin_D
11012	Milk_nonfat_fluid_with_added_vitamin_A_and_vitamin_D_fat_free_or_skim
1102	Buttermilk
11020	Milk_buttermilk_fluid_cultured_lowfat
11021	Milk_buttermilk_fluid_whole
11022	Milk_buttermilk_fluid_cultured_reduced_fat
1103	Milk_goat_fluid_with_added_vitamin_D
111	Processed_milk
1110	Dried_milk
11100	Milk_dry_whole_with_added_vitamin_D
11101	Milk_dry_nonfat_regular_with_added_vitamin_A_and_vitamin_D
11102	Milk_buttermilk_dried
11103	Whey_sweet_dried
1111	Canned_milk
11110	Milk_canned_evaporated_with_added_vitamin_D_and_without_added_vitamin_A
11111	Milk_canned_evaporated_nonfat_with_added_vitamin_A_and_vitamin_D
1112	Dulce_de_Leche
12	Creams_and_cream_substitutes
120	Half_and_half
1200	Cream_fluid_half_and_half
1201	Cream_half_and_half_fat_free
121	Sour_cream
1210	Cream_sour_cultured
1211	Sour_cream_light
13	Cheeses
130	Natural_cheeses
1300	Soft_cheeses
13000	Cheese_brie
13001	Cheese_camembert
13002	Cheese_cream
13003	Cheese_cream_fat_free
13004	Cheese_cream_low_fat
1301	Semi_hard_cheeses
13010	Cheese_cheddar
13011	Cheese_cheddar_reduced_fat
13012	Cheese_cheddar_nonfat_or_fat_free
13013	Cheese_colby
13014	Cheese_monterey
13015	Cheese_monterey_low_fat
13016	Cheese_brick
13017	Cheese_muenster
13018	Cheese_muenster_low_fat
13019	Cheese_gouda
1302	Hard_cheeses
13020	Cheese_parmesan_grated
13021	Parmesan_cheese_topping_fat_free
13022	Cheese_romano
1303	Cheese_blue
1304	Swiss_type_cheeses
13040	Cheese_swiss
13041	Cheese_Swiss_nonfat_or_fat_free
13042	Cheese_gruyere
1305	Italian_cheeses
13050	Cheese_mozzarella_whole_milk
13051	Cheese_mozzarella_part_skim_milk
13052	Cheese_provolone
13053	Cheese_provolone_reduced_fat
13054	Cheese_ricotta_whole_milk
13055	Cheese_fontina
1306	Cheese_feta
1307	Cheese_goat_hard_type
131	Cottage_cheeses
1310	Cheese_cottage_creamed_large_or_small_curd
1311	Cheese_cottage_lowfat_2_milkfat
132	Mexican_cheeses
1320	Cheese_mexican_queso_anejo
1321	Cheese_mexican_queso_chihuahua
1322	Cheese_Mexican_blend_reduced_fat
1323	Cheese_dry_white_queso_seco
1324	Cheese_fresh_queso_fresco
1325	Cheese_Mexican_blend
1326	Cheese_oaxaca_solid
1327	Cheese_cotija_solid
2	Meat_Poultry_Fish_and_Mixtures
21	Poultry
210	Chicken
2100	Chicken_broilers_or_fryers_breast_meat_only_cooked_roasted
2101	Chicken_gizzard_all_classes_cooked_simmered
211	Turkey
2110	Turkey_whole_meat_and_skin_cooked_roasted
2111	Turkey_whole_giblets_cooked_simmered
212	Duck_domesticated_meat_only_cooked_roasted
213	Game_birds
2130	Quail_cooked_total_edible
2131	Pheasant_cooked_total_edible
2132	Dove_cooked_includes_squab
22	Beef
220	Ground_beef
2200	Beef_ground_80_lean_meat__20_fat_raw
2201	Beef_ground_80_lean_meat__20_fat_patty_cooked_broiled
221	Beef_chuck_blade_roast_separable_lean_only_trimmed_to_0_fat_all_grades_cooked_braised
222	Beef_cured_dried
23	Pork
230	Pork_cuts
2300	Pork_fresh_leg_ham_whole_separable_lean_and_fat_cooked_roasted
231	Pork_organs
2310	Pork_fresh_variety_meats_and_byproducts_chitterlings_cooked_simmered
2311	Pork_fresh_variety_meats_and_byproducts_stomach_raw
2312	Pork_fresh_variety_meats_and_byproducts_feet_cooked_simmered
232	Snacks_pork_skins_plain
24	Lamb_veal_game_other
240	Veal_loin_separable_lean_and_fat_cooked_roasted
241	Veal_variety_meats_and_byproducts_thymus_cooked_braised
242	Lamb_ground_cooked_broiled
243	Game_meat
2430	Game_meat_bear_cooked_simmered
2431	Game_meat_beaver_cooked_roasted
2432	Game_meat_bison_separable_lean_only_cooked_roasted
2433	Game_meat_boar_wild_cooked_roasted
2434	Game_meat_moose_cooked_roasted
2435	Game_meat_goat_cooked_roasted
2436	Game_meat_rabbit_domesticated_composite_of_cuts_cooked_stewed
2437	Game_meat_raccoon_cooked_roasted
2438	Game_meat_squirrel_cooked_roasted
2439	Game_meat_deer_ground_raw
244	Amphibians_reptiles
2440	Frog_legs_raw
2441	Turtle_green_raw
25	Organ_meats_sausages_and_lunchmeats
250	Beef_organs
2500	Beef_variety_meats_and_byproducts_brain_cooked_simmered
2501	Beef_variety_meats_and_byproducts_heart_cooked_simmered
2502	Beef_variety_meats_and_byproducts_kidneys_cooked_simmered
2503	Beef_variety_meats_and_byproducts_liver_cooked_panfried
